slide_num,positive,negative,total,select_prop
A1058,451.0,21134.0,21585.0,0.020894139448691222
A1122,22.0,3709.0,3731.0,0.0058965424819083356
A1155,2331.0,13794.0,16125.0,0.14455813953488372
A359,3605.0,22922.0,26527.0,0.13589927243940136
A664,2438.0,12681.0,15119.0,0.16125405119386202
A714,5375.0,10638.0,16013.0,0.3356647723724474
A763,382.0,9185.0,9567.0,0.039928922337200794
A619,2825.0,13957.0,16782.0,0.16833512096293649
A353,2793.0,22876.0,25669.0,0.10880829015544041
A224,1209.0,7878.0,9087.0,0.13304721030042918
A614,1153.0,20894.0,22047.0,0.0522973647208237
A719,2299.0,19229.0,21528.0,0.10679115570419918
A669,1697.0,10845.0,12542.0,0.13530537394354966
A764,304.0,7412.0,7716.0,0.03939865215137377
A323,4023.0,17967.0,21990.0,0.18294679399727148
A410,746.0,6165.0,6911.0,0.10794385761828969
A467,3300.0,14705.0,18005.0,0.18328242154956956
A1055,3803.0,16144.0,19947.0,0.19065523637639745
A150,7219.0,16307.0,23526.0,0.3068519935390632
A560,2375.0,18332.0,20707.0,0.11469551359443667
